"Province.State","Country.Region","Lat","Long","date","cases","type"
"","Algeria",28.0339,1.6596,2020-04-14,87,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-15,90,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-16,108,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-17,150,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-18,116,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-19,95,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-20,89,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-21,93,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-22,99,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-23,97,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-24,120,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-25,129,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-26,126,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-27,135,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-28,132,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-29,199,"confirmed"
"","Algeria",28.0339,1.6596,2020-04-30,158,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-01,148,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-02,141,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-03,179,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-04,174,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-05,190,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-06,159,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-07,185,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-08,187,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-09,189,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-10,165,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-11,168,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-12,176,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-13,186,"confirmed"
"","Algeria",28.0339,1.6596,2020-05-14,189,"confirmed"
"","Austria",47.5162,14.5501,2020-01-22,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-23,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-24,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-25,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-26,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-27,0,"confirmed"
